train_loss,val_loss
1.0582882764771422,0.49518035255771664
0.42618329079795686,0.3435116410380163
0.2983003209697828,0.2917804776765739
0.2409107972750702,0.26250666247402216
0.19663347938727824,0.27067311247083126
0.1619132842873158,0.24328294496133043
0.14545180556733978,0.23691565270876577
0.12046635366292117,0.2370823698791875
0.11141849098175736,0.257830397467842
0.09403828381196862,0.24698949496749784
0.0855208897373724,0.2454850655648053
0.08419293903879822,0.2540536745564168
0.07621704911428213,0.24669555296869866
0.07060704108787931,0.26391695156423467
0.06816338114754199,0.27574967302858305
0.05973545444708191,0.28568844655956127
0.061686876890792504,0.2788817733752304
