train_loss,val_loss
1.0561488662205862,0.5690537532375727
0.46169760701420276,0.38126031717651393
0.33298998293922194,0.3067914627047555
0.26314820982240317,0.2979098771949274
0.2138418815670353,0.27026384708889445
0.17973832289199287,0.2244019162899349
0.1564799376591985,0.2540869890168064
0.13500434520498267,0.2896315537462734
0.12337022724820816,0.2652329690624486
0.10695956928782538,0.2647753205895112
0.10327019098757376,0.2507095606036143
0.08719650785763569,0.27208949848591146
0.07955128154340495,0.31715131232652183
0.07504895511736646,0.2971178097821913
0.07011506693481125,0.29709129132658874
0.06617381251800687,0.2941437317993924
