train_loss,val_loss
1.1448053386040957,0.5605674863327295
0.5303955846446993,0.43638181162324535
0.3900481870760659,0.362863595838592
0.32079881890665435,0.31537239470864215
0.2700121871202621,0.30260801467011333
0.23784601622419516,0.30619274540783536
0.21193731136332306,0.28341583998527703
0.19457335785511903,0.28084960990132196
0.17234286439934884,0.28943009754396243
0.1554004400570616,0.26171052986757914
0.14592320073339338,0.26925431179742126
0.1350025582106611,0.27582443608688273
0.12078340663788908,0.27576936065841956
0.11005125331999267,0.2887161930587711
0.10843472080224867,0.264323085933516
0.09919203318846423,0.28425266675786326
0.09588574927563082,0.2628515254973373
0.09143739389230772,0.2726471645318692
0.08196434965684334,0.27753399429401987
0.07986716726273888,0.2904623716586424
