train_loss,val_loss
2.022854236391196,2.034617345692173
1.6409893275648835,2.2489338245192942
1.4964088234104145,1.9908868759354976
1.4060824474721092,1.7345796649826428
1.325149555489948,1.4233483887676681
1.2165152092455285,1.571938035187486
1.12049203005251,1.726433992226053
1.0128433335824027,1.6380859821957918
0.9245330993002251,1.2890564807624156
0.8313906548107552,1.1344617804445858
0.7433897690566023,1.195458305334397
0.6520465622377549,0.9943271490213063
0.5790867545788695,1.2969599960904037
0.5116075360889987,0.9743782755728522
0.4573644988119027,0.9539832221344113
0.40310347109218503,0.9741038494809929
0.37148062449751174,0.824797788410381
0.3273191367003504,0.7210102136429798
0.3031539321257179,1.4933229736052454
0.27413449313647303,0.7010211670172534
0.27687659923741864,0.7240916768870582
0.22402943932717828,0.7530926381490904
0.21253658801293257,0.5706614415700771
0.21840483412308276,0.7972959582007856
0.17579305769899603,0.5343967285672468
0.17928179761437812,0.7126352444381122
0.17184606965173072,0.5020318433754645
0.15440634006373824,0.5099622907665824
0.15198729975265826,0.461331289496489
0.144751258341332,0.5391719823372634
0.14489512525010745,0.722186323839456
0.15793295097717014,0.4312061738104863
0.12751384723304182,0.6448922981925307
0.12437619343079018,0.5487462419878284
0.11432887858361562,0.5973008899828918
0.12219627846733867,0.514545999037052
0.12192235685101863,0.4825303589651802
0.11740428975882859,0.6164245875999256
0.1067970205354102,0.4449996621762661
0.10036311597845755,0.6249475214624128
0.1053483589735201,0.4767144080025381
0.10027733866901697,0.8238836520316691
